Frequency,-1,0
1200000,39.52176659754541,39.52176659754541
1300000,42.006323419689046,42.006323419689046
1400000,44.46446709306479,44.46446709306479
1500000,46.77150094904508,46.77150094904508
1600000,49.401181812776926,49.401181812776926
1700000,51.957398971860805,51.957398971860805
1800000,54.607958380437196,54.607958380437196
1900000,57.417213995987254,57.417213995987254
2000000,60.26380503034668,60.26380503034668
2100000,63.18944790254286,63.18944790254286
2200000,66.11202322366111,66.11202322366111
2300000,69.38850860522018,69.38850860522018
2400000,72.70366868202039,72.70366868202039
2500000,75.9717440774869,75.9717440774869
2600000,79.46214244208468,79.46214244208468
