Frequency,-1,0
1200000,39.82224756034637,39.82224756034637
1300000,42.27432645544635,42.27432645544635
1400000,44.495338499873455,44.495338499873455
1500000,46.83564744378088,46.83564744378088
1600000,49.61752660394678,49.61752660394678
1700000,52.07247085330548,52.07247085330548
1800000,54.839971200589,54.839971200589
1900000,57.75061599707291,57.75061599707291
2000000,60.65409701594125,60.65409701594125
2100000,63.64718991024462,63.64718991024462
2200000,66.63224285838521,66.63224285838521
2300000,69.95983315188366,69.95983315188366
2400000,73.41861540005826,73.41861540005826
2500000,76.8498478544549,76.8498478544549
2600000,80.46090818267379,80.46090818267379
