Frequency,-1,0
1200000,31.261979960625187,31.261979960625187
1300000,33.14830646150076,33.14830646150076
1400000,35.090474413837114,35.090474413837114
1500000,36.97562135944217,36.97562135944217
1600000,39.064171429294895,39.064171429294895
1700000,41.37887986826949,41.37887986826949
1800000,43.70348378072656,43.70348378072656
1900000,46.202291854495954,46.202291854495954
2000000,48.75532447363458,48.75532447363458
2100000,51.51994363716446,51.51994363716446
2200000,54.34366073004236,54.34366073004236
2300000,57.26711473121736,57.26711473121736
2400000,60.41405177866033,60.41405177866033
2500000,63.66957989793221,63.66957989793221
2600000,67.64802221494193,67.64802221494193
