Frequency,-1,0
1200000,40.533762601116706,40.533762601116706
1300000,42.8959188137279,42.8959188137279
1400000,45.274649724151466,45.274649724151466
1500000,47.708103052824406,47.708103052824406
1600000,50.28931923695218,50.28931923695218
1700000,52.694837517865714,52.694837517865714
1800000,55.34552927539662,55.34552927539662
1900000,58.11912924272971,58.11912924272971
2000000,60.874337347960854,60.874337347960854
2100000,63.76159529742894,63.76159529742894
2200000,66.70945232837927,66.70945232837927
2300000,69.8989564686876,69.8989564686876
2400000,73.11528390479336,73.11528390479336
2500000,76.41762149013296,76.41762149013296
2600000,79.84511272218316,79.84511272218316
